cso_id,cso_name_english,cso_name_dhivehi,phone,email,web_presence,registration_number
36,Advocates for Workers Safety and Rights,އެޑްވޮކޭޓްސް ފޮ ވރާކާސް ސޭފްޓީ އެންޑް ރައިޓްސް,7826767،‎ 7953300,nashayashahym@gmail.com,,1865
37,Advocating the People's Progress,އެޑްވޮކޭޓިންގް ދަ ޕީޕްލްސް ޕްރޮގްރެސް,7979665,shiphs@gmail.com,,105
38,Advocating the Rights of the Children (ARC),އެޑްވޮކޭޓިނގް ދަ ރައިޓްސް އޮފް ދަ ޗިލްޑްރަން (އާކް,7799544,info@arc.org.mv,,1706
39,Affiliation for Social Awareness,އެފިލިއޭޝަން ފރޯ ސޯޝަލް އެވެއރާނަސް,7771647,test@gmail.com,,1705
40,Afunge Ado,އަފުންގެ އަޑޮ,7601618,,,2576
41,Aged Care Maldives,އޭޖްޑް ކެއރަ މޯލްޑިވްސް,3335956,info@agedcaremaldives.org,,1704
42,Agolhiteemu Sports Club,އަގޮޅިތީމު ސްޕޯޓްސް ކްލަބް,_,_,,324
43,Ahlee Sports Club,އަހްލީ ސްޕޯޓްސް ކްލަބް,7785370,test@gmail.com,,1703
44,Ahmadhiyaa Alumni,އަހްމަދިއްޔާ އެލަމްނައި,7970000,,,1823
45,Aid,އެއިޑް,9124778/7966926,aide.maldives2023@gmail.com,,1795
46,Aid Foundation,އެއިޑް ފައުންޑޭޝަން,3326234,,,1702
47,Aikme Foundation,އޭކްމީ ފައުންޑޭޝަން,"7786776, 7900209",acmefoundation@gmail.com,,441
48,Ails Foundation,އައިލްސް ފައުންޑޭޝަން,,islesfoundation@gmail.com,,2580
49,Aimaa Foundation,އައިމާ ފައުންޑޭޝަން,,,,1701
50,Aircraft Maintenance Association of Maldives,އެއރަކްރާފްޓް މެއިންޓެނަންސް އެސޯސިއޭޝަން އޮފް މޯލްޑިވްސް,7774891,,,1700
51,Airline Operators Association,އެއރަލައިން އޮޕަރޭޓރަސް އެސޯސިއޭޝަން,7656693/7785919,info@crystalchambers.mv,,1837
52,Airport Ferry Operators Association,އެއރަޕޯޓް ފެރީ އޮޕަރޭޓރަސް އެސޯސިއޭޝަން,3007781,test@gmail.com,,1699
53,Airport Recreation Club,އެއރަޕޯޓް ރެކްރިއޭޝަން ކްލަބް,,recreation@maclnet.net,,1801
54,Airport Reps Association,އެއރަޕރޯޓް ރެޕްސް އެސޯސިއޭޝަން,7787447/7782904,mvairportreps@gmail.com,,1833
55,Airport Reps Recreation Club (A.R.R.C),އެއރަޕޯޓް ރެޕްސް ރެކްރިއެޝަން ކްލަބް (އޭ.އރާ.އރާ.ސީ),9994554,test@gmail.com,,1698
56,Airports Refs Association of Maldives,އެއރަޕޯޓްސް ރެފްސް އެސޯސިއޭޝަން އޮފް މޯލްޑިވްސް,7781984,info@noemail.com,,1697
57,Al Ahulee Sports Club,އަލް އަހުލީ ސްޕޯޓްސް ކްލަބް,7785370,,,1696
58,Al Eemaan Foundation,އަލް އީމާން ފައުންޑޭޝަން,9783410,,,1692
59,Al Hijraa,އަލް ހިޖްރާ,7772355,,,1767
60,Alameen Charitable Trust Foundation,އަލްއަމީން ޗެރިޓަބަލް ޓްރަސްޓް ފައުންޑޭޝަން,9714943,test@gmail.com,,1695
61,Alasru,އަލްޢަޞްރު,7925277,mail@asr.mv,,1694
62,Albayinaa,އަލްބައްޔިނާ,7931363,,,1926
63,Aleem Foundation,އަލީމް ފައުންޑޭޝަން,9410000,,,1693
64,Alifulhu Tutu Foundation,އަލިފުޅު ތުއްތު ފައުންޑޭޝަން,3322475,info@aftfoundation.org.mv,,1691
65,Alifushi Development Society (eds),އަލިފުށި ޑިވެލޮޕްމަންޓް ސޮސައިޓީ (އެޑްސް),_,,,335
66,Alifushi Dhirun Jamiyya,އަލިފުށި ދިރުން ޖަމްޢިއްޔާ,_,_,,334
67,Alifushi Environment Association,އަލިފުށި އެންވަޔަރަމަންޓް އެސޯސިއޭޝަން,_,_,,333
68,Alifushi Environment Society,އަލިފުށި އެންވަޔަރަމަންޓް ސޮސައިޓީ,7461048/ 9941990,_,,332
69,Alifushi Football Club,އަލިފުށި ފުޓްބޯޅަ ކްލަބް,_,_,,331
70,Alifushi Heeraa Sports Club,އަލިފުށި ހީރާ ސްޕޯޓްސް ކްލަބް,_,_,,330
71,Alifushi Vadinge Development Jamiyya,އަލިފުށި ވަޑިންގެ އެކުވެރި ޖަމްޢިއްޔާ,_,_,,329
72,Align Maldives,އެލައިން މޯލްޑިވްސް,7736667,test@gmail.com,,1690
73,Alimagu,އަލިމަގު,7778620/7948620,info@alimagu.com,,2662
74,All Youth Linkage (A.Y.L),އޯލް ޔޫތު ލިންކޭޖް (އޭ.ވައި.އެލް),7795505,,,1689
75,Alliance for Dhifushi Development,އެލައިންސް ފރޮ ދިއްފުށި ޑިވެލޮޕްމެންޓް,9934448,,,550
76,Alminhaaju,އަލްމިންހާޖު,3334740,test@gmail.com,,1687
77,Aloha Flying Club,އަލޯހާ ފްލައިން ކްލަބް,7778323,test@gmail.com,,1686
78,Alumni Link of Muhyidheen,އަލުމްނައި ލިންކް އޮފް މުޙްޔިއްދީން,9748400,,,1685
79,Alzheimer's Society of Maldives,އަލްޒައިމާސް ސޮސައިޓީ އޮފް މޯލްޑިވްސް,7900170,,,1684
80,Amaaz Jamiyya,އަމާޒް ޖަމްޢިއްޔާ,7692568,test.test@gmail.com,,1683
81,Amalee Dhivehi,ޢަމަލީ ދިވެހި,7719149,amaleedhivehi@gmail.com,,1682
82,Ameeru Ahmadhuge Kureege Dharivarunge Jamiyya,އަމީރު އަޙްމަދުގެ ކުރީގެ ދަރިވަރުންގެ ޖަމްޢިއްޔާ,7784088,,,1681
83,America Sports Club,އަމީކާ ސްޕރޯޓްސް ކްލަބް,,,,1679
84,American Bar Association Maldives Rule of Law Initiative (ABA ROLI Maldives),އެމެރިކަން ބާ އެސޯސިއޭޝަން މޯލްޑިވްސް ރޫލް އޮފް ލޯ އިނީޝިއޭޓިވް (އޭބީއޭ ރޯލީ މޯލްޑިވްސް),9182158,,,1680
85,Anajaatu Foundation,އައްނަޖާތު ފައުންޑޭޝަން,7997229,,,620
86,Anbaree Foundation,އަންބަރީ ފައުންޑޭޝަން,"7779274, 9951595",abdulmaaniu@gmail.com,,42
87,Anjaman Hasan,އަންޖަމަން ޙަސަން,7967853,,,232
88,Anti Bullying Society of Maldives,އެންޓި ބުލީން ސޮސައިޓީ އޮފް މޯލްޑިވްސް,7650082/9199769/7434714,contact.absmv@gmail.com,,230
89,Anti-Corruption Commission Recreation Club,އެންޓި-ކޮރަޕްޝަން ކޮމިޝަން ރެކްރިއޭޝަން ކްލަބް,3015200,info@acc.gov.mv,,1677
90,Anvaru Foundation,އަންވަރު ފައުންޑޭޝަން,7776322,,,1676
91,Apple Health Care Maldives (Rotary Club of Raajje),އެޕަލް ހެލްތް ކެއރަ މޯލްޑިވްސް ( ރޮޓަރީ ކުލަބު އޮފް ރާއްޖެ),7925790,,,1675
92,Architects Association Maldives,އރާކިޓެކްޓްސް އެސޯސިއޭޝަން މޯލްޑިވްސް,,,,1674
93,Arthritis Association,އާތުރައިޓްސް އެސޯސިއޭޝަން,7737573،‎ 9991933,,,395
94,Aruta Jamiyya,އަރުތަ ޖަމްޢިއްޔާ,7910531,,,2376
95,Aseyri,އައްސޭރި,7906162,test@gmail.com,,2669
96,Asian Academy of Aeronautics Recreation Club,އޭޝިއަން އެކެޑެމީ އޮފް އެއިރޮނޮޓިކްސް ރިކްރިއޭޝަން ކްލަބް,7773373,info@aaa-fta.com,,2630
97,Askani,އަސްކަނި,7838384,askanijamiyya@gmail.com,,607
98,Assam Keram Club (A.C.C),އޯސަމް ކެރަމް ކްލަބް (އޭ.ސީ.ސީ),7640333,,,1637
99,Associated Future Artists of Dhivehi Underground,އެސޯސިއޭޓެޑް ފިއުޗރަ އާޓިސްޓްސް އޮފް ދިވެހި އަންޑރަގްރައުންޑް,7858414,,,1672
100,Association For Rasdhoo Tourism Development,އެސޯސިއޭޝަން ފޯ ރަސްދޫ ޓުވަރިޒަމް ޑިވެލޮޕްމަންޓް,9996543,,,1962
101,Association For Socio-Economic Empowerment,އެސޯސިއޭޝަން ފޯ ސޯޝިއޯ-އިކޮނޮމިކް އެމްޕަވރަމަންޓް,7775429,,,1659
102,Association Franco-Maldivian,އެސޯސިއާސިއޯން ފްރަންކޯ-މާލްދިވިއެން,,,,1673
103,Association for Appreciation of Qaasim's Humanitarian Endeavors,އެސޯސިއޭޝަން ފރޮ އެޕްރިސިއޭޝަން އޮފް ޤާސިމްސް ހިޔުމެނިޓޭރިއަން އެންޑިވިއރާސް,,,,1948
104,"Association for Awareness, Recreation and Unity (AARU)",އެސޯސިއޭޝަން ފރޮ އެވެއރަނސަ، ރެކްރިއޭޝަންސް އެންޑް ޔުނިޓީ (އާރު),9522101,infaaru@gmail.com,,1932
105,Association for Better Community,އެސޯސިއޭޝަން ފރޮ ބެޓރަ ކޮމިޔުނިޓީ,9997976,,,2273
106,Association for Bilefahee Youth Development (ebeed),އެސޯސިއޭޝަން ފރޮ ބިލެއްފަހީ ޔޫތް ޑިވެލޮޕްމަންޓް (އެބީޑް),7999348,abydevelopment@gmail.com,,183
107,Association for Blood Donators and Child Care,އެސޯސިއޭޝަން ފރޮ ބްލަޑް ޑޮނޭޓރަސް އެންޑް ޗައިލްޑް ކެއރަ,_,_,,318
108,Association for Children's Recreation and Development,އެސޯސިއޭޝަން ފރޮ ޗިލްޑްރަންސް ރިކްރިއޭޝަން އެންޑް ޑިވެލޮޕްމަންޓް,7764227,,,2574
109,Association for Climate Smart Economic Development,އެސޯސިއޭޝަން ފޯ ކްލައިމެޓް ސްމރާޓް އެކޮނޮމިކް ޑިވެލޮޕްމެންޓް,7773451,acsed.maldives@gmail.com,,1670
110,Association for Community Development,އެސޯސިއޭޝަން ފރޮ ކޮމިއުނިޓީ ޑިވެލޮޕްމަންޓް,7978128,ascodofficial@gmail.com,,2189
111,Association for Community Development (askod),އެސޯސިއޭޝަން ފރޮ ކޮމިއުނިޓީ ޑިވެލޮޕްމަންޓް (އަސްކޮޑް),_,_,,328
112,Association for Cultural and Social Cooperation,އެސޯސިއޭޝަން ފރޮ ކަލްޗަރަލް އެންޑް ސޯޝަލް ކރޯޕަރޭޝަން,,aleesha5881@gmail.com,,104
113,Association for Democracy in the Maldives,އެސޯސިއޭޝަން ފރޮ ޑިމޮކްރަސީ އިން ދަ މޯލްޑިވްސް,7754566,associationdemocracymv@gmail.com,,1669
114,Association for Development of the Kulhudhufushi Fisherman,އެސޯސިއޭޝަން ފރޮ ޑިވެލޮޕްމަންޓް އޮފް ދަ ކުޅުދުއްފުށި ފިޝަމަން,_,_,,103
115,Association for Dhaandhoo Development,އެސޯސިއޭޝަން ފރޮ ދާންދޫ ޑިވެލޮޕްމެންޓް,7659976,,,2410
116,Association for Dharanboodhoo Development,އެސޯސިއޭޝަން ފރޮ ދަރނަބޫދޫ ޑިވެލޮޕްމަންޓް,7540987,addjamiyya@gmail.com,,2044
117,Association for Dhevadhoo Development,އެސޯސިއޭޝަން ފރޮ ދެއްވަދޫ ޑިވެލޮޕްމެންޓް,,,,2358
118,Association for Dhevadhoo Perfect Sports and Environment,އެސޯސިއޭޝަން ފރޮ ދެއްވަދޫ ޕރާފެކްޓް ސްޕޯޓްސް އެންޑް އެންވަޔަރަންމަންޓް,,,,2357
119,Association for Dhifushi Development,އެސޯސިއޭޝަން ފރޮ ދިއްފުށި ޑިވެލޮޕްމެންޓް,,,,549
120,Association for Dhnabidhoo Development,އެސޯސިއޭޝަން ފރޮ ދނަބިދޫ ޑިވެލޮޕްމަންޓް,7686947,info.add51117@gmail.com,,1668
121,Association for Dhnageti Development,އެސޯސިއޭޝަން ފރޮ ދނަގެތި ޑިވެލޮޕްމަންޓް,,,,1925
122,Association for Disability Rehabilitation Care,އެސޯސިއޭޝަން ފރޮ ޑިސްއެބިލިޓީ ރިހެބިލިޓޭޝަން ކެއރަ,7901125,adrcmaldives@live.com,,2629
123,Association for Disability and Development,އެސޯސިއޭޝަން ފރޮ ޑިސްއެބިލިޓީ އެންޑް ޑިވެލޮޕްމަންޓް,9163799,add2016.mv@gmail.com,,1667
124,Association for Environmental Care,އެސޯސިއޭޝަން ފރޮ އެންވަޔަރަންމަންޓަލް ކެއރަ,7722467,-,,2661
125,Association for Fares Youth,އެސޯސިއޭޝަން ފރޮ ފަރެސް ޔޫތް,7851297,,,2449
126,Association for Fiyoari Development (A.F.D),އެސޯސިއޭޝަން ފރޮ ފިޔޯރީ ޑިވެލޮޕްމަންޓް (އޭ.އެފް.ޑީ),7794972,afd@avasmail.com.mv,,2474
127,Association for Foakaidhoo Youth Development,އެސޯސިއޭޝަން ފރޮ ފޯކައިދޫ ޔޫތް ޑިވެލޮޕްމަންޓް,7714328,,,184
128,Association for Fonadhoo Welfare Services,އެސޯސިއޭޝަން ފރޯ ފޮނަދޫ ވެލްފެއރަ ސރާވިސް,7897444,welfareservice@live.com,,2190
129,Association for Fonadhoo Youth Development,އެސޯސިއޭޝަން ފރޮ ފޮނަދޫ ޔޫތް ޑިވެލޮޕްމަންޓް,7941537,,,2188
130,Association for Funeral Initiative Assistant (afeeaa),އެސޯސިއޭޝަން ފރޮ ފަނެރަލް އިނީޝިއޭޓިވް އެސިސްޓެންޓް (އަފީއާ),_,_,,102
131,Association for Goidhoo Youth Development,އެސޯސިއޭޝަން ފރޯ ގޮއިދޫ ޔޫތު ޑިވެލޮޕްމަންޓް,9666073 / 9673878,agyd2005@gmail.com,,188
132,Association for Gulhee Development,އެސޯސިއޭޝަން ފރޯ ގުޅީ ޑިވެލޮޕްމަންޓް,9107233,semyeesh@gmail.com,,562
133,"Association for Hulhumaale Unity, Development and Harmony (AHUDH)",އެސޯސިއޭޝަން ފރޮ ހުޅުމާލެ ޔުނިޓީ، ޑިވެލޮޕްމެންޓް އެންޑް ހާމަނީ (އަހުދު),7773451,,,1666
134,Association for Ihavandhoo Development,އެސޯސިއޭޝަން ފރޮ އިހަވަންދޫ ޑިވެލޮޕްމަންޓް,7755877,aim_club@outlook.com,,41
135,Association for Ihavandhoo Movement,އެސޯސިއޭޝަން ފރޮ އިހަވަންދޫ މޫވްމަންޓް,786645,,,40
136,Association for Island Development,އެސޯސިއޭޝަން ފރޮ އައިލެންޑް ޑިވެލޮޕްމެންޓް,"7906263, 7752141",މެއިލް ,,160
137,Association for Island Development and Sustainability,އެސޯސިއޭޝަން ފރޮ އައިލެންޑް ޑިވެލޮޕްމެންޓް އެންޑް ސަސްޓެއިނެބިލިޓީ,,,,2349
138,Association for Kandoodhoo Development,އެސޯސިއޭޝަން ފރޮ ކނަޑޫދޫ ޑިވެލޮޕްމަންޓް,7915481,kidsngo@dhivehinet.net.mv,,2158
139,Association for Knedhikulhudhoo Youth Development and Environmental Awareness,"އެސޯސިއޭޝަން ފރޮ ކނެދިކުޅުދޫ ޔޫތް ޑިވެލޮޕްމަންޓް އެންޑް
އެންވަޔަރަންމަންޓަލް އެވެއރަނަސް",9659441,"akydea2009@hotmail.com, iexo@live.com",,269
140,Association for Komandoo Youth Development,އެސޯސިއޭޝަން ފރޮ ކޮމަންޑޫ ޔޫތު ޑިވެލޮޕްމަންޓް,7496127,,,172
141,Association for Magoodhoo Development,އެސޯސިއޭސަން ފޯ މަގޫދޫ ޑިވަލޮޕްމެންޓް,9631397,,,2038
142,Association for Maritime Workers,އެސޯސިއޭޝަން ފރޯ މެރިޓައިމް ވޯކރަސް,9992553,workersmaritime@gmail.com,,1665
143,Association for Mativeri Sports and Awareness (AMSA),އެސޯސިއޭޝަން ފރޮ މަތިވެރި ސްޕޯޓްސް އެންޑް އެވެއރަނަސް (އަމްސާ),7763991 / 7772549 / 9763991 / 7794089,ramy_1979@live.com,,1934
144,Association for Molhadhoo Youth Development,އެސޯސިއޭޝަން ފރޮ މޮޅަދޫ ޔޫތު ޑިވެލޮޕްމަންޓް,7918023,amydmolhadhoo@gamil.com,,23
145,Association for Narudhoo Youth (enee),އެސޯސިއޭޝަން ފރޯ ނަރުދޫ ޔޫތް (އެނީ),7939146/7451088,any.naru@gmail.com,,170
146,Association for Needs and Deed,އެސޯސިއޭޝަން ފރޮ ނީޑްސް އެންޑް ޑީޑް,7992180/ 7885228,needsanddeed@gmail.com,,89
147,Association for Neykurendhoo Development,އެސޯސިއޭޝަން ފރޮ ނޭކުރެންދޫ ޑިވެލޮޕްމަންޓް,_,_,,134
148,Association for Nilandhoo Development (A.N.D),އެސޯސިއޭޝަން ފރޯ ނިލަންދޫ ޑިވެލޮޕްމަންޓް (އޭ.އެން.ޑީ),,,,2368
149,Association for Noble and Talented Force (A.N.T.F),އެސޯސިއޭޝަން ފރޯ ނޮބެލް އެންޑް ޓެލެންޓެޑް ފރޯސް (އޭ.އެން.ޓީ.ފރޯސް),7905052,,,2461
150,Association for Noomaraa Development (and),އެސޯސިއޭޝަން ފރޮ ނޫމަރާ ޑިވެލޮޕްމަންޓް (އެންޑް),7846251,މެއިލް ,,187
151,Association for Noonu Atoll Development,އެސޯސިއޭޝަން ފރޮ ނޫނު އެޓޯލް ޑިވެލޮޕްމަންޓް,,,,276
152,Association for Olhuvelifushee Youth,އެސޯސިއޭޝަން ފރޮ އޮޅުވެލިފުށީ ޔޫތް,7796143,,,543
153,"Association for Public Services, Monitoring and Accountability",އެސޯސިއޭޝަން ފރޮ ޕަބްލިކް ސރާވިސް، މޮނިޓަރިނގް އެންޑް އެކައުންޓަބިލިޓީ,7871615,apamaldives@gmail.com,,1664
154,Association for Recreational Aviation of Maldives,އެސޯސިއޭޝަން ފރޮ ރެކްރިއޭޝަނަލް އޭވިއޭޝަން އޮފް މޯލްޑިވްސް,7774489,test@gmail.com,,1663
155,Association for Rural Integration and Social Education (Feevaku ARISE),( އެސޯސިއޭޝަން ފރޮ ރޫރަލް އިންޓެގްރޭޝަން އެންޑް ސޯޝަލް އެޑިއުކޭޝަން ( ފީވަކު އެރައިޒް),7550144,arise.feevah@gmail.com,,156
156,Association for Social Awareness (asaa),އެސޯސިއޭޝަން ފރޮ ސޯޝަލް އެވެއރަނެސް (އަސާ),7789790 / 7934740,admin@asa.org.mv,,81
157,Association for Social Awareness and Action,އެސޯސިއޭޝަން ފރޮ ސޯޝަލް އެވެއރަނެސް އެންޑް އެކްޝަން,7788643,,,2573
158,Association for Social Benefits and Aid (ASBAA),އެސޯސިއޭޝަން ފރޮ ސޯޝަލް ބެނެފިޓްސް އެންޑް އެއިޑް (އަސްބާ),7330000,,,1662
159,Association for Social Environment and Culture,އެސޯސިއޭޝަން ފރޮ ސޯޝަލް އެންވަޔަރަމެންޓް އެންޑް ކަލްޗރަ,,asec@hotmail.com,,1661
160,Association for Social Justice Initiative,އެސޯސިއޭޝަން ފރޯ ސޯޝިއަލް ޖަސްޓިސް އިނިޝިއޭޓިވް,,,,1660
161,Association for Statistical Knowledge,އެސޯސިއޭޝަން ފރޮ ސްޓެޓިސްޓިކަލް ނޮލެޖް,7536775,,,1658
162,Association for Vulnerable Society of Maldives,އެސޯސިއޭޝަން ފރޮ ވަލްނަރަބަލް ސޮސައިޓީ އޮފް މޯލްޑިވްސް,9998981,,,1656
163,Association for West United,އެސޯސިއޭޝަން ފރޯ ވެސްޓް ޔުނައިޓެޑް,7889490,,,2045
164,Association for Youth Development and Empowerment,އެސޯސިއޭޝަން ފރޮ ޔޫތު ޑިވެލޮޕްމަންޓް އެންޑް އެމްޕަވރަމަންޓް,,,,429
165,Association for Youth Empowerment of Gemanafushi,އެސޯސިއޭޝަން ފރޮ ޔޫތް އެމްޕަވރަމަންްްޓް އޮފް ގެމަނަފުށި,,,,2401
166,Association for Youth Movement,އެސޯސިއޭޝަން ފރޯ ޔޫތް މުމެންޓް,,,,159
167,Association for Youth Movement (noomaraa Ekuveringe Gulhun),އެސޯސިއޭޝަން ފރޮ ޔޫތް މޫމެންޓް (ނޫމަރާ އެކުވެރިންގެ ގުޅުން),7637069,,,1655
168,Association for the Development and Awareness of Omadhoo,އެސޯސިއޭޝަން ފރޮ ދަ ޑިވެލޮޕްމެންޓް އެންޑް އެވެއރާނެސް އޮފް އޮމަދޫ,7903786,add.dhangethi@hotmail.com,,1924
169,Association for the Development and Solidarity of Hoarafushi,އެސޯސިއޭޝަން ފރޮ ދަ ޑިވެލޮޕްމަންޓް އެންޑް ސޮލިޑާރިޓީ އޮފް ހޯރަފުށި,7841716,info.adsh@gmail.com,,80
170,"Association for the Development of Rasgeteemu Environment, Sports and Social Services (ADRESS)","އެސޯސިއޭޝަން ފރޮ ދަ ޑިވެލޮޕްމަންޓް އޮފް ރަސްގެތީމު އެންވަޔަރަމަންޓް، ސްޕޯޓްސް އެންޑް
ސޯޝިއަލް ސރާވިސަސް (އެޑްރެސް)",_,_,,347
171,Association for the Rights of Children,އެސޯސިއޭޝަން ފރޮ ދަ ރައިޓްސް އޮފް ޗިލްޑްރަން,7784440,arc.maldives@gmail.com,,1657
172,Association of Civil Engineers,އެސޯސިއޭޝަން އޮފް ސިވިލް އިންޖިނިއރަސް,7915824,,,1654
173,Association of Democracy of Electoral Link (A Del),އެސޯސިއޭޝަން އޮފް ޑިމޮކްރަސީ އޮފް އިލެކްޓޯރަލް ލިންކް (އޭ ޑެލް),7779659,adelsecretariat2022@gmail.com,,1653
174,Association of Green Ocean,އެސޯސިއޭޝަން އޮފް ގުރީން އޯޝަން,9998156,nasra@baa.gov.mv,,2304
175,Association of Hinnavaru Education Development,އެސޯސިއޭޝަން އޮފް ހިންނަވަރު އެޑިޔުކޭޝަން ޑިވެލޮޕްމަންޓް,7727643,ahed.hinnavaru@gmail.com,,542
176,Association of Human Rights in Maldives,އެސޯސިއޭޝަން އޮފް ހިޔުމަންރައިޓްސް އިން މޯލްޑިވްސް,,,,541
177,Association of Intrepid Maldivians,އެސޯސިއޭޝަން އޮފް އިންޓރަޕިޑް މޯލްޑިވިއަންސް,7796477،‎ 7772131,,,2050
178,Association of Lady Entrepreneurs,އެސޯސިއޭޝަން އޮފް ލޭޑީ އެންޓރަޕްރިނިޔާސް,7771494,,,1652
179,Association of Maamendhoo Development (A.M.D),އެސޯސިއޭޝަން އޮފް މާމެންދޫ ޑިވެލޮޕްމަންޓް (އޭ.އެމް.ޑީ),,,,2347
180,Association of Majeedhiyaa Band Alumni (AMBA),އެސޯސިއޭޝަން އޮފް މަޖީދިއްޔާ ބޭންޑް އެލުމްނައީ (އަންބާ),7777970,,,1651
181,Association of Maldives Maritime Industry,އެސޯސިއޭޝަން އޮފް މޯލްޑިވްސް މެރިޓައިމް އިންޑަސްޓްރީ,7933622,,,1650
182,Association of Maldivian Architects (A.M.A),އެސޯސިއޭޝަން އޮފް މޯލްޑިވިއަން އާކިޓެކްޓްސް (އޭ.އެމްއޭ),,,,1649
183,Association of Maldivian Engineers,އެސޯސިއޭޝަން އޮފް މޯލްޑިވިއަން އިންޖިނިއރަސް,7772764,,,1671
184,Association of Maldivian Youth Leaders,އެސޯސިއޭޝަން އޮފް މޯލްޑިވިއަން ޔޫތު ލީޑރަސް,9872774,,,2670
185,Association of Matimaradhoo Improved Generation of Sports,އެސޯސިއޭޝަން އޮފް މަތިމަރަދޫ އިމްޕްރޫވްޑް ޖެނެރޭޝަން އޮފް ސްޕޯޓްސް,7788494,amigosportsclub@gmail.com,,2234
