social_service_id,provider_name,island_id,atoll_id,matched_island_name,matched_atoll_name,contact_phone,contact_email,original_atoll,original_island
23,Haa Dhaalu Kulhudhuffushi Amaan Hiyaa (Safe Home),79.0,10,Kulhudhuffushi,Haa Dhaalu,,,Haa Dhaalu,Kulhudhuffushi
24,Haa Alifu Dhidhdhoo Amaan Hiyaa (Safe Home),,9,,Haa Alifu,,,Haa Alifu,Dhidhdhoo
25,Noonu Manadhoo Amaan Hiyaa (Safe Home),134.0,16,Manadhoo,Noonu,,,Noonu,Manadhoo
26,Lhaviyani Naifaru Amaan Hiyaa (Safe Home),111.0,13,Naifaru,Lhaviyani,,,Lhaviyani,Naifaru
27,Baa Eydhafushi Amaan Hiyaa (Safe Home),21.0,3,Eydhafushi,Baa,,,Baa,Eydhafushi
28,Dhaalu Kudahuvadhoo Amaan Hiyaa (Safe Home),34.0,4,Kudahuvadhoo,Dhaalu,,,Dhaalu,Kudahuvadhoo
29,Meemu Mulah Amaan Hiyaa (Safe Home),116.0,15,Mulah,Meemu,,,Meemu,Mulah
30,Laamu Fonadhoo Amaan Hiyaa (Safe Home),99.0,12,Fonadhoo,Laamu,,,Laamu,Fonadhoo
31,Gnaviyani Fuvahmulah Amaan Hiyaa (Safe Home),61.0,8,Fuvahmulah,Gnaviyani,,,Gnaviyani,Fuvahmulah
32,Haa Alifu Dhidhdhoo Fiyavathi (Orphanage),,9,,Haa Alifu,,,Haa Alifu,Dhidhdhoo
33,Shaviyani Funadhoo Fiyavathi (Orphanage),162.0,19,Funadhoo,Shaviyani,,,Shaviyani,Funadhoo
34,Noonu Manadhoo Fiyavathi (Orphanage),134.0,16,Manadhoo,Noonu,,,Noonu,Manadhoo
35,Baa Eydhafushi Fiyavathi (Orphanage),21.0,3,Eydhafushi,Baa,,,Baa,Eydhafushi
36,Gnaviyani Fuvahmulah Fiyavathi (Orphanage),61.0,8,Fuvahmulah,Gnaviyani,,,Gnaviyani,Fuvahmulah
37,Kulhudhuffushi Regional Hospital Child Development Centre,79.0,10,Kulhudhuffushi,Haa Dhaalu,,,Haa Dhaalu,Kulhudhuffushi
38,Southern Child Development Centre,153.0,18,Hithadhoo,Seenu,,,Seenu,Hithadhoo
39,HPSN (Home for People with Special Needs),175.0,20,Guraidhoo,Thaa,,,Kaafu,Guraidhoo
40,Domestic Violence Shelter,,6,,Gaafu Alifu,,,Gaafu Alifu,Villingili
41,Hanimaadhoo Drug Rehab Centre,77.0,10,Hanimaadhoo,Haa Dhaalu,,,Haa Dhaalu,Hanimaadhoo
42,Himmafushi Drug Rehab Centre,,11,,Kaafu,,,Kaafu,Himmafushi
43,Hulhumale Drug Rehab Centre,,14,,MLE,,,MLE,Hulhumale
44,Villingili Drug Rehab Centre,,6,,Gaafu Alifu,,,Gaafu Alifu,Villingili
45,Thinadhoo Drug Rehab Centre,189.0,21,Thinadhoo,Vaavu,,,Gaafu Dhaalu,Thinadhoo
46,Fuvahmulah Drug Rehab Centre,61.0,8,Fuvahmulah,Gnaviyani,,,Gnaviyani,Fuvahmulah
