facility_id,facility_name,facility_type,island_id,matched_island_name,atoll_id,matched_atoll_name,address,rooms,beds,berths,phone,email,website,fax,resort_phone,resort_email,resort_fax,operator,owner_lessee,management,match_score,match_status,facility_type_original,atoll_name,island_name
11,Acqua Blu Rasdhoo,guesthouse,6.0,Rasdhoo,1.0,Alifu Alifu,Seagull,8,16,0,9528528,acquablurasdhoo@gmail.com,www.acquablurasdhoo.com,-,,,,"Local Touch Pvt Ltd 
Blue Meed
Vaavu Magu
Rasdhoo, Alifu Alifu Atoll
Republic of Maldives","Abdulla Niyaz 
Garden House
Rasdhoo, Alifu Alifu Atoll
Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Rasdhoo
12,Adaaran Club Rannalhi,resort,,,11.0,Kaafu,,122,244,0,3323323,info@adaaran.com,,3315238,6642688,reservations@adaaran.com.mv,6642688,"Jetan Travel Services Company Pvt Ltd
H. Thuniya Building (6th Floor) 
Boduthakurufaanu Magu
Male', Republic of Maldives","Jetan Travel Services Company Pvt Ltd
H. Thuniya Building (6th Floor) 
Boduthakurufaanu Magu
Male', Republic of Maldives",,,unmatched,Resort,Kaafu,Rannalhi
13,Adaaran Prestige Vadoo,resort,151.0,Vaadhoo,17.0,Raa,,50,100,0,3323323 / 3315238,mahdy@aitkenspence.lk / info@adaaran.com,,3315237,6643976,reservations@adaaran.com.mv,6643976,"Unique Resorts Pvt Ltd
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu,
Male', Republic of Maldives","Unique Resorts Pvt Ltd
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu,
Male', Republic of Maldives",-,100.0,matched,Resort,Kaafu,Vaadhoo
14,Adaaran Select Hudhuranfushi,resort,,,11.0,Kaafu,,202,404,0,"3323323
3315238",info@adaaran.com,,3315237,6641930,reservations@adaaran.com.mv,6641930,"A.D.S Resorts Pvt. Ltd.
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Altaf Enterprises Pvt. Ltd. 
H. No.8, Ibrahim Hassan Didi Magu, 
Male', Republic of Maldives",-,,unmatched,Resort,Kaafu,Lhohifushi
15,Adaaran Select Meedhupparu,resort,,,17.0,Raa,,238,476,0,"332 3323
331 5238",gm@aitkenspence.com.mv,,331 5237,6640375,res.mir@adaaran.com.mv,6640375,"Cowrie Investment Pvt. Ltd.
H. STO Aifaanu Building, 7th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Cowrie Investment Pvt. Ltd.
H. STO Aifaanu Building, 7th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives",-,,unmatched,Resort,Raa,Meedhupparu
16,Adora (Safari Adora),vessel,,,,,Safari Adora,11,30,0,3314811,info@maldivesboatclub.com,,3314841,,,,"Maldives Boat Club Pvt Ltd
M.Narugismaage -Aage
Alhivila Magu
Male', Republic of Maldives","Mufeed Abdulla 
Hulhumale' 10105
Male'
Republic of Maldives",,,no_island_provided,Vessel,,
17,Adroit Sunset View,guesthouse,175.0,Guraidhoo,20.0,Thaa,Jewel,7,14,0,7776257,adroitbeachinn@hotmail.com,https://sites.google.com/view/adroitbeachsunsetview,,,,,"Adroit Investment  (SP) | Ashraf Mohamed 
Hulhumale' Flat 128-1-04, 
Nirolhu Magu, 
Male', Republic of Maldives","Nahida Ahmed 
Jewel
Guraidhoo, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Guraidhoo
18,Adventure 2,vessel,,,,,,8,20,0,3356734,info@maldivesdiving.com,,3356734,,,,"Diving Adventure Maldives Pvt Ltd   
M. Happy Luck                                            
Naseemee Hingun                                    
Male', Republic of Maldives","Diving Adventure Maldives Pvt Ltd  (C-0006/1999)  
Plot No. 10482, 1st Floor
Nirolhumagu
Hulhumale', 
Male', Republic of Maldives",,,no_island_provided,Vessel,,
19,Ahi Maldives,guesthouse,180.0,Omadhoo,20.0,Thaa,"Aman, Lily Magu",5,10,0,7907558,ahimaldives@gmail.com,,,,,,"AHI Maldives (SP) | Hawwa Saleema 
Dhangetheege, 
Omadhoo, Alifu Dhaalu Atoll, 
Republic of Maldives","Hawwa Saleema 
Dhangetheege, 
Omadhoo, Alifu Dhaalu Atoll, 
Republic of Maldives",,100.0,matched,Guest House,Alifu Dhaalu,Omadhoo
20,Ahiva Village,guesthouse,23.0,Fulhadhoo,3.0,Baa,"Ocean Villa, Ghazee Hingun",12,24,0,"9365914
7783316",info@ahivavillage.com,http://ahivavillage.com/,,,,,"BB CORP Pvt Ltd 
Fehige 
Ghaazee Hingun
Fulhadhoo, Baa Atoll
Republic of Maldives","Fareesha Abdul Raheem 
Valuge
Fulhadhoo, Baa Atoll
Republic of Maldives",,100.0,matched,Guest House,Baa,Fulhadhoo
21,Ahola Thoddoo,guesthouse,7.0,Thoddoo,1.0,Alifu Alifu,"Ruhkuri, Ruhdhandu Magu",10,20,0,7798066,sales@aholathoddoo.com,http://www.aholathoddoo.com/,,,,,"Ahola Thoddoo (SP)
Ahmed Hafeez 
Nooru Vaadhee
Thoddoo, Alifu Alifu Atoll
Republic of Maldives","1. Ali Jamsheed 
Nooru Vaadhee, AA. Thoddoo, Republic of Maldives
2. Fathimath Leena 
Soasunmaage, AA. Thoddoo, Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Thoddoo
22,AIG Grand,guesthouse,61.0,Fuvahmulah,8.0,Gnaviyani,"Miskiymagu, Feshun, Naib Thuththu Magu",12,24,0,7998195,fortuneclasspvtltd@gmail.com,,,,,,"Fortune Class Pvt Ltd 
Miskihmagu, Feshun, 
Naibuthuthu Magu, 
Fuvahmulah, Gnaviyani Atoll, 
Republic of Maldives","Ali Ibrahim
Hoadhadu, Gofi, 
Fuvahmulah, Gnaviyani Atoll, 
Republic ofMaldives",,100.0,matched,Guest House,Gnaviyani,Fuvahmulah
23,Aimi Beach,guesthouse,91.0,Gulhi,11.0,Kaafu,"Green Peas, Burevi Magu",24,48,0,7793992,aimibeachmv@gmail.com,http://www.aimibeach.mv/,-,,,,"Aimi Hotels Pvt Ltd
M. Fiyaathoshivilla, 
Chanbeyleemagu, 
Male', Republic of Maldives","Hawwa Afeefa 
Green Peas, 
Gulhi, Kaafu Atoll, 
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Gulhi
24,Aina Residency,guesthouse,,,11.0,Kaafu,"Lot 10380, Nirolhu Magu",27,54,0,9322251,hello@ainaresidency.mv,,,,,,"AINA (SP)
Mariyam Nishan Ali
G. Aina Adams
Male' I Republic of Maldives","Mariyam Nishan Ali 
G. Aina Adams 
Male', Republic of Maldives",,,unmatched,Guest House,Kaafu,Male'
25,Aire Dharavandhoo,guesthouse,19.0,Dharavandhoo,3.0,Baa,"Hurasveli, Kudey Magu",11,22,0,7774813,asifriza@gmail.com,http://www.airedharavandhoo.com/,-,,,,"Golden Atoll Pvt Ltd
Hulhumale' Lot 10463, 5th Floor,
Ahigas Magu,
Male', Republic of Maldives","Hassan Asif Riza 
V. Kurikeela Vaadhee,
Male', Republic of Maldives",,100.0,matched,Guest House,Baa,Dharavandhoo
26,Akiri Dhigurah,guesthouse,10.0,Dhigurah,2.0,Alifu Dhaalu,"Vanilla House,  Chanpaa Magu",5,10,0,9400098,akiridhigurah@gmail.com,,,,,,"Akiri Dhigurah Pvt Ltd 
Sabaanaa Manzil
Adh. Dhigurah
Republic of Maldives","Aishath Abdul Kareem 
Valencia
Adh. Dhigurah",,100.0,matched,Guest House,Alifu Dhaalu,Dhigurah
27,Akiri Grand,guesthouse,189.0,Thinadhoo,21.0,Vaavu,Manzil,4,8,0,7944499,akirigrand@gmail.com,,,,,,"Exbizz (SP)
Afrah Ibrahim
Manzil
Thinadhoo, Vaavu Atoll
Republic of Maldives","1. Ibrahim Rushdhee 
Manzil
Thinadhoo, Vaavu Atoll
Republic of Maldives
2. Maimoona Umar 
Manzil
Thinadhoo, Vaavu Atoll
Republic of Maldives",,100.0,matched,Guest House,Vaavu,Thinadhoo
28,Akiri Surf Retreat,guesthouse,97.0,Thulusdhoo,11.0,Kaafu,Fias,3,6,0,9704149,info@akiriholidays.com,www.akiriholidays.com,,,,,"Firushan Mohamed 
Dhethandimaage 
Nilandhoo, Gaafu Alifu Atoll
Republic of Maldives","Ali SIyaz 
Annaarumaage
Thulusdhoo, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Thulusdhoo
29,Akomadoo,guesthouse,26.0,Kamadhoo,3.0,Baa,"12.1 Rayyithunge Hiya, Karankaa Magu",10,20,0,7791232,hrmanager@fantasy.com.mv,www.akamadoo.com,,,,,"Island Gastronomy Investment Pvt Ltd
M. Uniya, 5A, 
Fareedhee Magu, 
Male', Republic of Maldives","Secretariat of the Kamadhoo Council
B. Kamadhoo, 
Repubilc of Maldives",,100.0,matched,Guest House,Baa,Kamadhoo
30,Akoya Pearl,vessel,,,,,,6,15,0,7798181,adamendheri@gmail.com,,,,,,"Endheri Maldives Pvt Ltd 
Endherimaage
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives","Adam Yoosuf Endheri Maage
Dhangethi, Aifu Dhaalu Atoll
Republic of Maldives",,,no_island_provided,Vessel,,
31,Ala Fehi Retreat,guesthouse,61.0,Fuvahmulah,8.0,Gnaviyani,"Maadhadu, Maadhadige",3,6,0,7778700,modi.mohamed@gmail.com,,,,,,"Mohamed Ibrahim Didi 
Maadhadu, Vidhuvaruge
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives","Aminath Ibrahim Didi 
Maadhadu. Maadhadige
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives",,100.0,matched,Guest House,Gnaviyani,Fuvahmulah
32,Alaika Maafushi,guesthouse,96.0,Maafushi,11.0,Kaafu,"Falaku, Noonu",11,22,0,7791133,alaila.pvt@gmail.com,alaikamaafushi.com,,,,,"Alaila Pvt Ltd 
M. Honey Season
Male', Republic of Maldives","1. Ibrahim Shareef 
Falak
K. Maafushi 
Republic of Maldives
2. Mariyam Shahidha 
Venus
K. Maafushi
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Maafushi
33,Ale Sara Guest (Baa),guesthouse,21.0,Eydhafushi,3.0,Baa,Randheli,4,8,0,7416222,alesarabaa@gmail.com,,,,,,"Ahmed Musthafa
Dheydharuge
B. Eydhafushi
Republic of Maldives","Ahmed Musthafa
Dheydharuge
B. Eydhafushi
Republic of Maldives",,100.0,matched,Guest House,Baa,Eydhafushi
34,Ale Sara Guest Maldive Thoddu,guesthouse,7.0,Thoddoo,1.0,Alifu Alifu,"Tube Rose, Shaheedh Ali Hingun",4,8,0,9506015,hawwaanuher@gmail.com,,,,,,"Majoo Fruits (SP)
Hawwa Nuhaa 
Ferose
Thoddoo, Alifu Alifu Atoll
Republic of Maldives","Zubaidha Hassan 
Ferose
Thoddoo, Alifu Alifu Atoll
Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Thoddoo
35,Alice,vessel,,,,,Alice,11,24,0,7781785,toma@maldivesboatcruise.com,,-,,,,"Maldivian Boat Cruise Pvt. Ltd. 
M. Hasowa, 04th Floor
Male', Republic of Maldives

License expiry: 11 Nov 2029","ST Boat Cruise Pvt. Ltd. 
M. Hasowa, 04th Floor
Male', Republic of Maldives",,,no_island_provided,Vessel,,
36,Alila Kothaifaru Maldives,resort,,,17.0,Raa,"Kothaifaru and Kuroshigiri, Raa Atoll",80,160,0,3005515,masoodh@momentum.com.mv,,,7783767 / 6591234,kothaifaru@alilahotels.com,7783767 / 6591234,"Ballentine Pvt Ltd 
M. Faamudheyrige, 05th Floor
Orchid Magu
Male', Republic of Maldives","Ballentine Pvt Ltd 
M. Faamudheyrige, 05th Floor
Orchid Magu
Male', Republic of Maldives","Hyatt International South West Asia Limited 
G. Sosanee
Male', Republic of Maldives",,unmatched,Resort,Raa,Kothaifaru and Kuroshigiri
37,Alimas Holiday Retreat,guesthouse,185.0,Felidhoo,21.0,Vaavu,Alimasge,15,30,0,9959008,contact@alimasholidayretreat.com,,,,,,"Alimas Holiday Retreat LLP (P00122020)
Alimasge
Felidhoo, Vaavu Atoll
Republic of Maldives","Amira Ibrahim (A037900)
Alimasge
Felidhoo, Vaavu Atoll
Republic of Maldives",,100.0,matched,Guest House,Vaavu,Felidhoo
38,Alimatha Aquatic Resort,resort,,,21.0,Vaavu,,156,312,0,3323214,"office@maleoffice.com.mv 
manager@maleoffice.com.mv",,3322516,67005753323524,alimatha@dhivehinetnet.mv,,"L.A Resorts Pvt Ltd 
M.Opera Building
Chaandhanee Magu
Male', Republic of Maldives","Safari Tours Pvt. Ltd 
Opera Building, Chaandhanee Magu
Male', Republic of Maldives
safari@dhivehinet.net.mv",,,unmatched,Resort,Vaavu,Alimatha
39,Alkina Lodge,guesthouse,186.0,Fulidhoo,21.0,Vaavu,Thousand Flower,4,8,0,"7647724 
9797958",silveen3150@gmail.com,,-,,,,"Alkina Partners
Thousand Flower
Vaavu Atoll, Fulidhoo
Republic of Maldives","Aminath Rasheedha
Thousand Flower
Vaavu Atoll, Fulidhoo
Republic of Maldives",,100.0,matched,Guest House,Vaavu,Fulidhoo
40,Aloha Beach Inn,guesthouse,,,11.0,Kaafu,"Reesha Vaadee, Violet Magu",5,10,0,9807713,axxam1990@gmail.com,,,,,,"Aloha Beach Inn (SP)
Hassan Azzam 
Reesha Vaadee
Himmafushi, Kaafu Atoll
Republic of Maldives","Abdul Razzaq Ali 
Reesha Vaadee
Himmafushi, Kaafu Atoll
Republic of Maldives",,,unmatched,Guest House,Kaafu,Himmafushi
41,Amazing View,guesthouse,7.0,Thoddoo,1.0,Alifu Alifu,View,11,22,0,9153344,view.thoddoo@gmail.com,www.amazingviewthoddoo.com,,,,,"Moosa Farooq
Handhuvarumatheege 
Thoddoo, Alifu Alifu Atoll
Republic of Maldives","1. Moosa Farooq 
Handhuvarumatheege 
Thoddoo, Alifu Alifu Atoll
Republic of Maldives 
2. Ramiza Ibrahim
Islandmaage 
Thoddoo, Alifu Alifu Atoll
Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Thoddoo
42,Amazonite Guesthouse,guesthouse,97.0,Thulusdhoo,11.0,Kaafu,Rasthari,3,6,0,7945432,aminathusama1@gmail.com,,,,,,"Amazonite Guesthouse Pvt Ltd 
Ma. Kurikeela 
Kurikeela Magu 
Male', Republic of Maldives","Jabir Ahmed Umar 
Rasthari  
Thulusdhoo, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Thulusdhoo
43,Amba Dive Maldives  (Amba Maldives),vessel,,,,,,10,22,0,3333644,info@amba-maldives.com,,,,,,"Amba Dive Pvt Ltd 
H. Aage, 6th Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Amba Dive Pvt Ltd 
H. Aage, 6th Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives",,,no_island_provided,Vessel,,
44,Amber Beach,guesthouse,,,11.0,Kaafu,Hulhumale' Lot. No. 10997,20,40,0,7789499,huvan.maldives@gmail.com,,,,,,"Huvan Pvt Ltd
Hulhumale' Raintree 3B 
Irudheymaa Hingun
Male', Republic of Maldives","Ahmed Riuman Afeef
Ma. Ease
Zamaanee Goalhi 
Male', Republic of Maldives",,,unmatched,Guest House,Kaafu,Male'
45,Ambra Maldives,guesthouse,7.0,Thoddoo,1.0,Alifu Alifu,New Life,6,12,0,9932002,fabrishiya@gmail.com,-,-,,,,"Fabrishiya Pvt Ltd 
Radiumge,
Thoddoo, Alifu Alifu Atoll,
Republic of Maldives","Mohamed Siyam 
Radiumge,
Thoddoo, Alifu Alifu Atoll,
Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Thoddoo
46,Ameera Guest House,guesthouse,89.0,Dhiffushi,11.0,Kaafu,"Happy Land, Arutha",10,20,0,9648473,info@ameeramaldives.com,www.ameeramaldives.com,,,,,"Ameera Guest House (SP)
Ali Rasheed 
Arutha
Dhiffushi, Kaafu Atoll
Republic of Maldives","1. Ali Rasheed 
 Arutha, 
Dhiffushi, Kaafu Atoll
Republic of Maldives
2. Aminath Saara 
Arutha,
Dhiffushi, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Dhiffushi
47,Amilla Fushi,hotel,,,3.0,Baa,"Finolhas, Baa Atoll",70,150,0,3312140,coast@dhivehinet.net.mv,,3312139,,,,"Coastline Hotels and Resorts Pvt Ltd 
M. Irufuheyge
Maaveyo Magu
Male’, Republic of Maldives","Coastline Hotels and Resorts Pvt Ltd 
M. Irufuheyge
Maaveyo Magu
Male’, Republic of Maldives",-,,unmatched,Hotel,Baa,Finolhas
48,Amina Residency,guesthouse,,,11.0,Kaafu,H. Feyrugasdhoshuge,4,8,0,3337792,info@amina.com.mv: aminath@falim.com.mv,-,-,,,,"Falim Group Pvt. Ltd.
H. Nereen,  
Majeedhee Magu 
Male', Republic of Maldives","1. Khalid Waheed, 
H. Feyrugasdhoshuge, Male', Republic of Maldives  
2. Legal Heirs of Late Mohamed Waheed:
- Mohamed Musthafa, H. Feyrugasdhoshuge, Male', Republic of Maldives
- Adeela Mohamed Waheed, H. Benina, Male', Republic of Maldives 
- Athiyya Mohamed Waheed, H. Down Flake, Male', Republic of Maldives 
- Aishath Sudha, H. Feyrugasdhoshuge, Male', Republic of Maldives 
- Aminath Ibrahim Manik, M. Bagufadihge, Male', Republic of Maldives",,,unmatched,Guest House,Kaafu,Male'
49,Ananea Madivaru Maldives,resort,,,1.0,Alifu Alifu,-,94,188,0,3330617,"info@ananeamadivaru.com

website: www.ananeamadivaru.com",,-,,,,"Twin Island Pvt Ltd 
M. Maaveyodhoshuge,
Maaveyo Magu, 
Male', Republic of Maldives","Twin Island Pvt Ltd 
M. Maaveyodhoshuge,
Maaveyo Magu, 
Male', Republic of Maldives",-,,unmatched,Resort,Alifu Alifu,Etheremadivaru
50,Anantara Kihavah Villas,resort,,,3.0,Baa,,89,178,0,0060(87)453-288,dkoegerl@anantara.com,,0060(87)451-288,6644111,mailto:kihavahmaldives@anantara.com,6644111,"Minor International (Labuan) Ltd
Level 15 (A2), Main Office Tower Financial Park
Labuan, Jalan Mereedeka, 87000 FT
Malaysia","Maldives Tourism Development Corporation Plc
01st Floor, Fathuruvehi
Buruzu Magu
Republic of Maldives",,,unmatched,Resort,Baa,Kihavah Huravalhi
51,Anantara Resort and Spa Maldives,resort,,,11.0,Kaafu,,113,226,0,7797779,shahdy@sandalawyers.com,,3327058,6644100,dhigumaldives@anantara.com,6644100,"SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","Minor Hotel Group (Maldives) Pvt Ltd 
Anantara Kihavah Villas
B. Kihavah Huravalhi
Republic of Maldives",,unmatched,Resort,Kaafu,Dhigufinolhu
52,Anantara Veli and Naladhu,resort,,,11.0,Kaafu,"Veligandu Huraa, Boduhuraa, Kudahuraa (Gulhi Gaathu Huraa)",88,176,0,7797779,shahdy@sandalawyers.com,,,6644111,velimaldives@anantara.com / stay@naladhu.com,,"SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","Minor Hotel Group (Maldives) Pvt Ltd 
Anantara Kihavah Villas
B. Kihavah Huravalhi
Republic of Maldives",,unmatched,Resort,Kaafu,Veligan'du Huraa
53,Anfradora Lodge at V. Keyodhoo,guesthouse,187.0,Keyodhoo,21.0,Vaavu,"Hudhu Asurumaage, Bandahajehi Magu",10,20,0,7409794,anfradoralodge@gmail.com,-,-,,,,"Anfradora (SP) 
Ali Rasheed 
Noorange
Keyodhoo, Vaavu Atoll 
Republic of Maldives","Naseema Mohamed 
Maaujaalaage
Keyodhoo, Vaavu Atoll 
Republic of Maldives",,100.0,matched,Guest House,Vaavu,Keyodhoo
54,Angaga Island Resort and Spa,resort,,,2.0,Alifu Dhaalu,,90,180,0,331 3523,info@happymarket.com.mv,,331 3522,6680510,angaga@dhivehinet.net.mv,6680510,"Angiri Resorts Management and Operations Pvt Ltd
M.New Plot, 2nd Floor 
Ameenee Magu
Male', Republic of Maldives","Angiri Resorts Management and Operations Pvt Ltd 
M.New Plot, 2nd Floor 
Ameenee Magu
Male', Republic of Maldives",,,unmatched,Resort,Alifu Dhaalu,Angaga
55,Angsana Resort & Spa Maldives - Velavaru,resort,,,4.0,Dhaalu,,119,238,0,"3304087
6760028",velavaru@angsana.com,,"3304660
6760029",676 0028,reservations-velavaru@angsana.com,676 0028,"Maldives Bay Pvt Ltd
M. Gulfaamuge, 4th Floor, 
Fareedhee Magu, 
Male', Republic of Maldives","Sancturay Sands Maldives Pvt. Ltd
H. Aage, 6th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives",-,,unmatched,Resort,Dhaalu,Velavaru
56,Annama Lodge and Dive,guesthouse,,,9.0,Haa Alifu,Blue Whale,7,14,0,7965140,annamalodge@gmail.com,,,,,,"Annama Lodge Pvt Ltd 
Blue Whale, Hoarafushi, Haa Alifu Atoll
Republic of Maldives","Nazima Abdul Latheef 
Vaijeheyge Aage, Hoarafushi, Haa Alifu Atoll, Republic of Maldives",,,unmatched,Guest House,Haa Alifu,Hoarafushi
57,Antares Dhangethi,guesthouse,,,2.0,Alifu Dhaalu,"Aakaash, Beach Road",13,26,0,"7773128
9459191",antaresdhangethi@gmail.com,,,,,,"Souvenir Dhangethi (SP)
Fathimath Faariha 
Roashaneege
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives","Abdulla Rasheed 
H. Thanbee Aage
Male'
Republic of Maldives",,,unmatched,Guest House,Alifu Dhaalu,Dhangethi
58,Aqua Blu Thoddoo,guesthouse,7.0,Thoddoo,1.0,Alifu Alifu,Nanreethige,5,10,0,7902029,bluescape.mv@gmail.com,,,,,,"Blu Escape Maldives 
Nooali
Thoddoo, Alif Alifu Atoll
Republic of Maldives","1. Mohamed Adam
Nanreethige
Chaandhanee Magu
Thoddoo, Alif Alifu Atoll
Republic of Maldives
2. Ibrahim Adam 
Nanreethige
Chaandhanee Magu
Thoddoo, Alif Alifu Atoll
Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Thoddoo
59,Aqua Gulhi,guesthouse,91.0,Gulhi,11.0,Kaafu,"Dhoores 01, Gul'alaa Magu",13,26,0,7779936,Aquadigitalmediamv@gmail.com,-,-,,,,"Aqua Holding Pvt Ltd 
M. Rosy Side,
Jambu Magu,
Male', Republic of Maldives","Mohamed Areef 
Dhoores
Gulhi, Kaafu Atoll  
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Gulhi
