island_id,council_contact_name,council_contact_number,police_station_name,police_contact_number,medical_facilities_desc,medical_contact_numbers,nearest_airport,how_to_get_there,sea_travel_info,air_travel_info,speedboat_operators,speedboat_contact,flight_operators,flight_contact,info_link
19,Ahmed Irushad,9607893002,Dhonfanu Police Station,+960333 3835,Health Post,+960660 0021,Dharavandhoo Airport,Origin: Dharavandhoo; Speed Boat Ferry 5 Minutes to Dhonfanu by speed boat,Speed Boat Ferry 5 Minutes to Dhonfanu by speed boat,,Alibe Express,9607924251,,,https://islands.mv/islands/baa-dharavandhoo
20,Island Focal Point,+9606608300,Police Station,+9603034454,Baa Atoll Hospital,+9606608309,Dharavandhoo Airport,Origin: Male'; Flight 30 minutes from Velana International Airport to Dharavandhoo Airport and 10 minutes transfer to Eydhafushi,,Flight 30 minutes from Velana International Airport to Dharavandhoo Airport and 10 minutes transfer to Eydhafushi,,,Maldivian; Flyme,+9603335544; +960301 3000,https://islands.mv/islands/baa-eydhafushi
21,Island Focal Point,+9606600058,,,Health Center,+9607900812,Dhonfanu Police Station,Origin: Velana International Airport; Flight 35 minutes from Velana International Airport to Dharavandhoo Airport and 45 minutes transfer to Fehendhoo by Speed boat; Speed Boat Ferry 2 hours from Male' to Fehendhoo,Speed Boat Ferry 2 hours from Male' to Fehendhoo,Flight 35 minutes from Velana International Airport to Dharavandhoo Airport and 45 minutes transfer to Fehendhoo by Speed boat,,,Manta Air,+960799 4405 / +960331 4477,Fehendhoo Dive and Water Sports
22,Island Focal Point,9607775808,Goidhoo Police Station,+9606608311,Health Center,9607448150,Dharavandhoo Airport,Origin: Velana International Airport; Speed Boat Charter 1 hour 50 minutes from Velana International Airport to Fulhadhoo; Flight 20 minutes from Velana International Airport to Dharavandhoo Airport and 45 minutes transfer to Fulhaadhoo,Speed Boat Charter 1 hour 50 minutes from Velana International Airport to Fulhadhoo,Flight 20 minutes from Velana International Airport to Dharavandhoo Airport and 45 minutes transfer to Fulhaadhoo,Atoll Cute,7908088,,,https://islands.mv/islands/baa-fulhadhoo
23,Island Focal Point,+9606600005,Goidhoo Police Station,+9606608311,Health Center,+9606600329,Dharavandhoo Airport,Origin: Velana International Airport; Speed Boat Ferry 1 hour 45 minutes from Male' to Goidhoo; Flight 20 minutes from Velana International Airport to Dharavandhoo Airport and 35 minutes transfer to Fulhaadhoo.,Speed Boat Ferry 1 hour 45 minutes from Male' to Goidhoo,Flight 20 minutes from Velana International Airport to Dharavandhoo Airport and 35 minutes transfer to Fulhaadhoo.,,,,,https://islands.mv/islands/baa-goidhoo-2
24,Island Focal Point,+9606600007,,,Health Center,+9606600037,Dharavandhoo Airport,Origin: Velana International Airport; Flight 20 minutes from Velana International Airport to Dharavandhoo Airport and 45 minutes transfer to Hithaadhoo,,Flight 20 minutes from Velana International Airport to Dharavandhoo Airport and 45 minutes transfer to Hithaadhoo,,,Maldivian; Manta Air; Flyme,+9603335544; +960799 4405 / +960331 4477; +960301 3000,
25,Mohamed Shareef,9607525694,Eydhafushi Police Station,+9603034454,Health Center,+960991 1918,Dharavandhoo Airport,Origin: Velana International Airport; Speed Boat Charter 2 hours and 20 minutes from Male' to Kamadhoo; Flight 20 minutes from Velana International Airport to Dharavandhoo Airport and 20 minutes transfer to Kamadhoo,Speed Boat Charter 2 hours and 20 minutes from Male' to Kamadhoo,Flight 20 minutes from Velana International Airport to Dharavandhoo Airport and 20 minutes transfer to Kamadhoo,Zahir,9607677964,,,https://islands.mv/islands/baa-kamadhoo
26,Island Focal Point,9609553531,,,Health Center,+9606600029,Dharavandhoo Airport,Origin: Velana International Airport; Speed Boat Ferry 3 hours and 30 minutes from Male' to Kendhoo; Flight 30 minutes from Velana International Airport to Dharavandhoo Airport and 25 minutes transfer to Kendhoo,Speed Boat Ferry 3 hours and 30 minutes from Male' to Kendhoo,Flight 30 minutes from Velana International Airport to Dharavandhoo Airport and 25 minutes transfer to Kendhoo,Azuro,9677462,,,https://islands.mv/islands/baa-kendhoo
27,Island Focal Point,+960795 8688,Eydhafushi Police Station,9603034454,Health Center,9606600050,Dharavandhoo Airport,"Origin: Velana International Airport; Speed Boat Charter 2 hours 10 minutes form Velana International Airport/ Male' to Kihaadhoo; Flight 20 minutes from Velana International Airport to Dharavandhoo Airport, and 10 minutes transfer to Kihaadhoo",Speed Boat Charter 2 hours 10 minutes form Velana International Airport/ Male' to Kihaadhoo,"Flight 20 minutes from Velana International Airport to Dharavandhoo Airport, and 10 minutes transfer to Kihaadhoo",,,,,https://islands.mv/islands/baa-kihaadhoo
28,Island Focal Point,+9606600039,,,Health Center,+9606600052,Dharavandhoo Airport,Origin: Velana International Airport; Dhoani Ferry 8 hours from Male' to Kudarikilu; Speed Boat Ferry 2 hours from Male' to Kudarikilu; Flight 30 minutes from Male' to Dharavandhoo Airport and 20 minutes transfer to Kudarikilu,Dhoani Ferry 8 hours from Male' to Kudarikilu; Speed Boat Ferry 2 hours from Male' to Kudarikilu,Flight 30 minutes from Male' to Dharavandhoo Airport and 20 minutes transfer to Kudarikilu,MTCC,9607998821,,,https://islands.mv/islands/baa-kudarikilu
29,Island Focal Point,+9606600056,Eydhafushi Police Station,+9609791764,Health Center,+9606601014,Dharavandhoo Airport,"Origin: Velana International Airport; Flight 20 minutes from Velana International Airport to Dharavandhoo Airport, and 10 minutes transfer to Maalhos",,"Flight 20 minutes from Velana International Airport to Dharavandhoo Airport, and 10 minutes transfer to Maalhos",,,Maldivian; Manta Air; Flyme,+9603335544; +960799 4405 / +960331 4477; +960301 3000,
30,Mohamed Ali Manik,9609951536,Thulhaadhoo Police Station,9609901454,Health Center,+9606609115,Dharavandhoo Airport,Origin: Male'; Speed Boat Ferry 2 hours and 30 minutes from Male' to Thulhaadhoo,Speed Boat Ferry 2 hours and 30 minutes from Male' to Thulhaadhoo,,Atoll Cute Ferry,7795652,,,https://islands.mv/islands/baa-thulhaadhoo
31,Island Focal Point,+9606760045,Police Station,+9603322112,Health Center,+9606760535,Dhaalu Airport,"Origin: Velana International Airport; Speed Boat Ferry 3 hour 30 minutes from Kudahuvadhoo Airport; Flight 45 minutes from Velana International airport to Kudahuvadhoo Aiport, 30 minutes transfer to Bandidhoo by speed boat",Speed Boat Ferry 3 hour 30 minutes from Kudahuvadhoo Airport,"Flight 45 minutes from Velana International airport to Kudahuvadhoo Aiport, 30 minutes transfer to Bandidhoo by speed boat",DMMA Express,9607918750,,,https://islands.mv/islands/dhaalu-bandidhoo
32,Island Focal Point,+9606760049,Police Station,+9603322112,Health Center,+9606760647,Dhaalu Airport,"Origin: Velana International Airport; Speed Boat Ferry 1 hour 45 minutes from Velana International Airport; Flight 45 minutes from Velana International Airport to Kudahuvadhoo Airport, 15 minutes transfer to Hulhudheli by speed boat",Speed Boat Ferry 1 hour 45 minutes from Velana International Airport,"Flight 45 minutes from Velana International Airport to Kudahuvadhoo Airport, 15 minutes transfer to Hulhudheli by speed boat",SIX N Express; DMMA Express,+9609787898; +9607918750,,,https://islands.mv/islands/dhaalu-hulhudheli
33,Island Focal Point,9606760522,Police Station,9609792052,Health Center,9607887787,Dhaalu Airport,Origin: Velana International Airport; Flight 45 minutes from Velana International airport to Kudahuvadhoo Aiport,,Flight 45 minutes from Velana International airport to Kudahuvadhoo Aiport,,,Manta Air,+960799 4405 / +960331 4477,
34,Island Focal Point,9607566737,Police Station,9603322111,Health Center,9606760645,Dhaalu Airport,"Origin: Velana International Airport; Flight 45 minutes from Velana International airport to Kudahuvadhoo Aiport, 07 minutes transfer to Maaenboodhoo by speed boat",,"Flight 45 minutes from Velana International airport to Kudahuvadhoo Aiport, 07 minutes transfer to Maaenboodhoo by speed boat",,,,,https://islands.mv/islands/dhaalu-maaenboodhoo
35,Island Focal Point,+9607937502,Police Station,+9603322112,Health Center,+9606760644,Dhaalu Airport,Origin: Kudahuvadhoo; Speed Boat Ferry 45 minutes from Kudahuvadhoo to Meedhoo,Speed Boat Ferry 45 minutes from Kudahuvadhoo to Meedhoo,,DMMA Express,9607918750,,,https://islands.mv/islands/dhaalu-meedhoo
36,Island Focal Point,9609191153,Police Station,9603322112,Health Center,9606760004,Dhaalu Airport,Origin: Kudahuvadhoo; Speed Boat Charter 30 minutes from Kudahuvadhoo to Rinbidhoo,Speed Boat Charter 30 minutes from Kudahuvadhoo to Rinbidhoo,,Sea View Speed,9607775547,,,https://islands.mv/islands/dhaalu-rinbidhoo
37,Ihufal Hameedh,+960796 0599,Police Station,+960946 5618,Health Center,+960790 2156,,Origin: Maamigili; Speed Boat Charter 45 Minutes from Maamigili to Bilehdhoo,Speed Boat Charter 45 Minutes from Maamigili to Bilehdhoo,,Umar,+960964-3301,,,https://islands.mv/islands/faafu-bilehdhoo
38,Abdul Hameed Adam,+960783 9997,,,Health Center,+960674 0688,,Origin: Male'; Speed Boat Charter 2 hour 30 minutes from Male' to Dharanboodhoo,Speed Boat Charter 2 hour 30 minutes from Male' to Dharanboodhoo,,Six N Express Lanch; DMMA Express Lanch; MTCC Faafu Atoll Ferry,+9609997738; +9607918690; +9607572704,,,https://islands.mv/islands/faafu-dharanboodhoo
39,Mohamed Jaleel,+960999 2798,Feeali Police Desk,9609553515,Health Center,9606740630,Villa International Airport Maamigili,Origin: Maamigili; Dhoani Ferry 01 hour 30 minutes from Maamigili to Feeali; Speed Boat Charter 30 minutes from Maamigili to Feeali/ IBrahim Naeem 7933817,Dhoani Ferry 01 hour 30 minutes from Maamigili to Feeali; Speed Boat Charter 30 minutes from Maamigili to Feeali/ IBrahim Naeem 7933817,,Abdhulla Jaleel,+960996-4312,,,https://islands.mv/islands/faafu-feeali
40,Island council,+960991 6237,Police station,+960998 0063,Health Post,+960674 0506,,"Origin: Velana International Airport; Flight 55 minutes from Velaana International Airport to Kudahuvadhoo Airport, 50 minutes transfer to Magoodhoo by Speedboat; Speed Boat Ferry 2 hour 15 minutes from Velana International Airport/Male' to Magoodhoo",Speed Boat Ferry 2 hour 15 minutes from Velana International Airport/Male' to Magoodhoo,"Flight 55 minutes from Velaana International Airport to Kudahuvadhoo Airport, 50 minutes transfer to Magoodhoo by Speedboat",,,Maldivian; Manta Aviation Private Limited,"+9603335544; +960799 4405, +960331 4477",
41,Island Focal Point,+9606740506,Police station,+960674-6060,Hospital,+960674-0086,Dhaalu Airport,Origin: Velana International Airport; Speed Boat Ferry,Speed Boat Ferry,,,,,,https://islands.mv/islands/faafu-nilandhoo
42,Mariyam Naeem,9607330026,Police Station,9607791885,Health Center,9606820109,Kooddoo Airport,Origin: Velana International Airport; Flight 1 hour 10 minutes from Velana International Airport to Koodoo Airport and 20 minutes transfer to Dhaandhoo by Speedboat,,Flight 1 hour 10 minutes from Velana International Airport to Koodoo Airport and 20 minutes transfer to Dhaandhoo by Speedboat,,,Maldivian; Flyme,+9603335544; +960301 3000,
43,Mariyam Naeem,+960767 4853,Police Station,+96093 1188,Health Center,+960682 4754,Kooddoo Airport,Origin: Kooddoo Airport; Dhoani Ferry 1 Hour from Koodoo to Dhevvadhoo; Speed Boat Charter 35 minutes from Koodoo to Dhevvadhoo,Dhoani Ferry 1 Hour from Koodoo to Dhevvadhoo; Speed Boat Charter 35 minutes from Koodoo to Dhevvadhoo,,Rifath Ibrahim,9607726817,,,https://islands.mv/islands/gaafu-alifu-dhevvadhoo
44,Island Focal Point,9607907106,Police Station,9607930299,Health Center,9606824755,Kooddoo Airport,Origin: Male'; Speed Boat Charter 10 minutes from Maavarulu to Gemanafushi,Speed Boat Charter 10 minutes from Maavarulu to Gemanafushi,,Sealine; Ocean; Niru; New Speed; Velaa 1643; Finiroalhi 03,+9607914151; +9607735304; +9607361688; +9609911480; +9607781055; +9609679944,,,https://islands.mv/islands/gaafu-alifu-gemanafushee
45,Island Focal Point,+960682-0020,Police Station,+9609186997,Health center,+9606820115,,Origin: Velana International Airport; Flight 50 minutes from Velana International Airport to Maavaaralu airport.,,Flight 50 minutes from Velana International Airport to Maavaaralu airport.,,,Maldivian,9603335544,https://islands.mv/islands/gaafu-alifu-kan-duhulhudhoo
46,Island Focal Point,+9607770979,Police Station,+9609790018,Health Center,+9606820048,Kooddoo Airport,Origin: Velana International Airport; Flight 50 minutes from Velana International Airport to Koodhoo airport,,Flight 50 minutes from Velana International Airport to Koodhoo airport,,,Maldivian; Flyme,+9603335544; +960301 3000,
47,Island Focal Point,+9606820019,Police Station,00,Health center,+9606824658,Kooddoo Airport,Origin: Velana International Airport; Flight 50 minutes from Velana International Airport to Koodhoo airport,,Flight 50 minutes from Velana International Airport to Koodhoo airport,,,Maldivian,9603335544,
48,Island Focal Point,9607934353,Police Station,9609960846,Health Center,9606824752,Kooddoo Airport,Origin: Velana International Airport; Flight 1 hour 10 minutes from Velana International Airport to Koodoo Airport and 4 Minutes transfer to Maamendhoo by Speedboat,,Flight 1 hour 10 minutes from Velana International Airport to Koodoo Airport and 4 Minutes transfer to Maamendhoo by Speedboat,,,Maldivian; Manta Air; Flyme,+9603335544; +960799 4405 / +960331 4477; +960301 3000,
49,Island Focal Point,9607781412,Police Station,9609551342,Health Center,9606824753,Kooddoo Airport,Origin: Velana International Airport; Flight 1 hour 10 minutes from Velana International Airport to Koodoo Airport and 15 Minutes transfer to Nilandhoo by Speedboat,,Flight 1 hour 10 minutes from Velana International Airport to Koodoo Airport and 15 Minutes transfer to Nilandhoo by Speedboat,,,Maldivian; Manta Air; Flyme,+9603335544; +960799 4405 / +960331 4477; +960301 3000,
50,Ms. Aishath Nazdha,9607505742,Police Station,+960979 2109,Gaaf Alif Atoll Hospital,+9607505742/ +9607636609,Kooddoo Airport,Origin: Kooddoo Airport; Dhoani Ferry 30 minutes from Koodoo to Vilingili; Speed Boat Charter 15 Minutes from Koodoo to Vilingili,Dhoani Ferry 30 minutes from Koodoo to Vilingili; Speed Boat Charter 15 Minutes from Koodoo to Vilingili,,,,,,https://islands.mv/islands/gaafu-alifu-vilingili
51,Island Focal Point,+9606840004,Police Station,+9609790111,Health center,+9606840097,Maavarulu Airport,Origin: Velana International Airport; Flight 50 minutes from Velana International Airport to Maavarulu airport.,,Flight 50 minutes from Velana International Airport to Maavarulu airport.,,,Maldivian,9603335544,A night on a virgin island; Reef survey
52,Island Focal Point,+9607793931,Police Station,+9609980061,Health center,+9606840056,Kaadedhdhoo Airport,Origin: Velana International Airport; Flight 50 minutes from Velana International Airport to Kaadehdhoo. Speed boat transfer to Fiyoaree within 45 minutes,,Flight 50 minutes from Velana International Airport to Kaadehdhoo. Speed boat transfer to Fiyoaree within 45 minutes,,,Maldivian,9603335544,
53,Island Focal Point,+9606840003,Police Station,+9607791755,Health center,+9606840043,Maavarulu Airport,Origin: Velana International Airport; Flight 50 minutes from Velana International Airport. It takes less than 10 minutes to reach Gadhoo by speed boat,,Flight 50 minutes from Velana International Airport. It takes less than 10 minutes to reach Gadhoo by speed boat,,,Maldivian,9603335544,
54,Island Focal Point,+9606840015,Police Station,+9609311599,Health Post,+9606842613,Kaadedhdhoo Airport,Origin: Velana International Airport; Flight 50 Minutes from Velaana International Airport to Kaadehdhoo Airport. It takes 15 minutes speedboat ride to the destination t,,Flight 50 Minutes from Velaana International Airport to Kaadehdhoo Airport. It takes 15 minutes speedboat ride to the destination t,,,Maldivian,9603335544,https://islands.mv/islands/gaafu-dhaalu-hoan-dehdhoo
55,Island Focal Point,+9606840006,Police Station,+9609311599,Health Center,+9606842614,Kaadedhdhoo Airport,Origin: Velana International Airport; Flight 50 Minutes from Velaana International Airport to Kaadehdhoo Airport. It takes less than 10 minutes to reach Madevelli from Kaadehdhoo,,Flight 50 Minutes from Velaana International Airport to Kaadehdhoo Airport. It takes less than 10 minutes to reach Madevelli from Kaadehdhoo,,,,,https://islands.mv/islands/gaafu-dhaalu-madaveli
56,Island Focal Point,+9606840007,,,Health Center,+9606842612,Kaadedhdhoo Airport,Origin: Velana International Airport; Flight 50 Minutes from Velaana International Airport to Kaadehdhoo Airport. It takes 30 minutes speedboat ride to the destination t,,Flight 50 Minutes from Velaana International Airport to Kaadehdhoo Airport. It takes 30 minutes speedboat ride to the destination t,,,Maldivian,9603335544,
57,Nizam Ibrahim,+9609984888,Rathafandhoo Police Station,+9607909311,Health Center,+9606840095,Kaadedhdhoo Airport,Origin: Thinadhoo; Speed Boat Ferry 45 minutes,Speed Boat Ferry 45 minutes,,,,,,https://islands.mv/islands/gaafu-dhaalu-kaadedhdhoo
58,Island Focal Point,+9606841019,Police Station,+9606842557,DR .Abdul Samad Memorial Hospital,+9606841977,Kaadedhdhoo Airport,Origin: Velana International Airport; Flight 50 minutes from Velana International Airport to Kaadehdhoo. Speed boat transfer to Thinadhoo within 5 minutes,,Flight 50 minutes from Velana International Airport to Kaadehdhoo. Speed boat transfer to Thinadhoo within 5 minutes,,,Maldivian,9603335544,https://islands.mv/islands/gaafu-dhaalu-thinadhoo
59,Island Focal Point,+9606580074,Police Station,+9603322111,Health center,+9606840094,Maavarulu Airport,Origin: Velana International Airport; Flight 50 minutes from Velana International Airport to Maavarulu airport. It takes 25 minutes ride to reach Vadhoo by speed boat,,Flight 50 minutes from Velana International Airport to Maavarulu airport. It takes 25 minutes ride to reach Vadhoo by speed boat,,,Maldivian,9603335544,https://islands.mv/islands/gaafu-dhaalu-vadhoo
60,City council,+960686-5001,Fuvahmulah Police Station,+9609792803,Fuvahmulah Hospital,+960686-0658,Fuvahmulah Airport,Origin: Addu City; Speed Boat Ferry 45 minutes from Gan International Airport (Addu City).,Speed Boat Ferry 45 minutes from Gan International Airport (Addu City).,,Southern Ferry Link,+960332 6822,,,https://islands.mv/islands/gnaviyani-fuvahmulah
61,Sameeha Moosa,7445538,Baarah Police Station,9980075,Health Center,6500570,Hanimaadhoo International Airport,"Origin: Velana International Airport; Speed Boat Ferry 7 hours from Velana International Airport to Baarah; Flight 45 minutes from Male' to Hanimaadhoo Airport, and a 20 minute transfer to Baarah",Speed Boat Ferry 7 hours from Velana International Airport to Baarah,"Flight 45 minutes from Male' to Hanimaadhoo Airport, and a 20 minute transfer to Baarah",Zee Speed,7854092,,,https://islands.mv/islands/haa-alifu-baarah
62,Abdulla Matheen,+960976 1636,Police Station,+9609791462,Haa Alif Atoll Hospital,+9606500053,Hanimadhoo International Airport,Origin: Hanimaadhoo; Speed Boat Charter 20 minutes to Dhidhoo,Speed Boat Charter 20 minutes to Dhidhoo,,,,,,https://islands.mv/islands/haa-alifu-dhidhoo
63,Island Focal Point,+9606500023,Dhidhoo police station,+9609791462,Health center,+9606500549,Hanimadhoo International Airport,Origin: Hanimaadhoo; Speed Boat Charter 15 minutes from Hanimadhoo Airport to Filladhoo,Speed Boat Charter 15 minutes from Hanimadhoo Airport to Filladhoo,,,,,,https://islands.mv/islands/haa-alifu-filladhoo
64,Island Focal Point,+9606520046,Hoarafushi Police Station,+9603034464,Health center,+9606500064,Hoarafushi Airport,Origin: Male'; Speed Boat Charter 5 hours 43 minutes from Male' to Hoarafushi,Speed Boat Charter 5 hours 43 minutes from Male' to Hoarafushi,,,,,,https://islands.mv/islands/haa-alifu-hoarafushi
65,Ali Arushad,+9609850584,Ihavandhoo Police Station,+9609792265,Health center,+9606500501,Hoarafushi Airport,Origin: Hoarafushi; Speed Boat Charter Less than 10 minutes to Ihavandhoo,Speed Boat Charter Less than 10 minutes to Ihavandhoo,,,,,,https://islands.mv/islands/haa-alifu-ihavandhoo
66,Island Focal Point,+9609695617,Kelaa Police Station,+9609980074,Health Center,+9606500047,Hanimadhoo International Airport,Origin: Velana International Airport; Speed Boat Ferry 5 hours 35 minutes to Kelaa; Flight 45 Minutes from Velaana International Airport to Hanimadhoo International Airport.,Speed Boat Ferry 5 hours 35 minutes to Kelaa,Flight 45 Minutes from Velaana International Airport to Hanimadhoo International Airport.,,,Maldivian,9603335544,https://islands.mv/islands/haa-alifu-kelaa
67,Island Focal Point,+9606500029,,,Health center,+9606500566,Hanimadhoo International Airport,Origin: Velana International Airport; Flight 45 minutes from Velana International Airport to Hanimaadhoo International Airport.,,Flight 45 minutes from Velana International Airport to Hanimaadhoo International Airport.,,,Maldivian,9603335544,
68,Island Focal Point,+9606500031,Police Station (Ihavandhoo Police station),9609792265,Health center,+9606500579,Hoarafushi Airport,Origin: Hoarafushi; Speed Boat Charter Less than 10 minutes by speed boat,Speed Boat Charter Less than 10 minutes by speed boat,,,,,,https://islands.mv/islands/haa-alifu-molhadhoo
69,Island Focal Point,+9606500032,,,Health center,+9606500569,Hanimadhoo International Airport,Origin: Velana International Airport; Flight 45 minutes from Velana International Airport to Hanimaadhoo International Airport.,,Flight 45 minutes from Velana International Airport to Hanimaadhoo International Airport.,,,Maldivian,9603335544,
70,Island Focal Point,+9606500034,Ihavandhoo Police Station,+9609792265,Health center,+9606500567,Hanimadhoo International Airport,Origin: Velana International Airport; Speed Boat Ferry 45 minutes from Velana International Airport to Hanimaadhoo International Airport.,Speed Boat Ferry 45 minutes from Velana International Airport to Hanimaadhoo International Airport.,,,,,,https://islands.mv/islands/haa-alifu-thakandhoo
71,,+9606500035,Thuraakunu Police Desk,+96099119933,Health Center,+9606500563,Hoarafushi Airport,,,,,,,,
72,Island Focal Point,+960650-0036,Police Station,+9609550286,Health center,+9606500564,Hoarafushi Airport,Origin: Hoarafushi; Speed Boat Ferry 15 minutes from Hoarafushi Airport to Uligan,Speed Boat Ferry 15 minutes from Hoarafushi Airport to Uligan,,,,,,https://islands.mv/islands/haa-alifu-uligamu
73,,,,,,,,,,,,,,,
